is_usable,primary_label,qc_file,relevance,specificity,coherence,completeness,rand_id_in_org
False,unusable,interim/qc/1021_q31.json,1,1,1,1,54261
False,unusable,interim/qc/1021_q35.json,1,1,1,1,54261
False,unusable,interim/qc/1022_q31.json,1,1,1,1,86124
True,acceptable,interim/qc/1022_q35.json,4,2,4,2,86124
False,unusable,interim/qc/1023_q31.json,1,1,1,1,64369
False,unusable,interim/qc/1023_q35.json,1,1,1,1,64369
False,unusable,interim/qc/1024_q31.json,1,1,1,1,14343
False,unusable,interim/qc/1024_q35.json,1,1,4,1,14343
False,unusable,interim/qc/1025_q31.json,1,1,1,1,44421
False,unusable,interim/qc/1025_q35.json,1,1,1,1,44421
False,unusable,interim/qc/1026_q31.json,1,1,4,1,82832
True,acceptable,interim/qc/1026_q35.json,4,3,4,3,82832
False,unusable,interim/qc/1027_q31.json,1,1,1,1,51354
False,unusable,interim/qc/1027_q35.json,1,1,1,1,51354
False,unusable,interim/qc/1028_q31.json,1,1,1,1,15007
False,unusable,interim/qc/1028_q35.json,1,1,1,1,15007
False,unusable,interim/qc/1029_q31.json,1,1,1,1,57184
False,unusable,interim/qc/1029_q35.json,1,1,4,1,57184
True,acceptable,interim/qc/102_q31.json,4,3,4,3,17016
True,acceptable,interim/qc/102_q35.json,4,2,4,3,17016
True,acceptable,interim/qc/1030_q31.json,4,3,4,3,38518
True,acceptable,interim/qc/1030_q35.json,4,3,4,3,38518
True,acceptable,interim/qc/1031_q31.json,4,4,4,4,20209
True,acceptable,interim/qc/1031_q35.json,4,2,4,3,20209
True,needs_review,interim/qc/1032_q31.json,2,1,3,2,12097
True,needs_review,interim/qc/1032_q35.json,3,1,3,2,12097
True,acceptable,interim/qc/1033_q31.json,4,4,4,4,70348
True,acceptable,interim/qc/1033_q35.json,4,4,4,4,70348
False,unusable,interim/qc/1034_q31.json,1,1,1,1,84048
False,unusable,interim/qc/1034_q35.json,1,1,1,1,84048
True,acceptable,interim/qc/1035_q31.json,4,3,4,3,90214
True,acceptable,interim/qc/1035_q35.json,4,2,4,2,90214
False,unusable,interim/qc/1036_q31.json,1,1,1,1,33473
False,unusable,interim/qc/1036_q35.json,1,1,1,1,33473
False,unusable,interim/qc/1037_q31.json,1,1,1,1,81720
False,unusable,interim/qc/1037_q35.json,1,1,4,1,81720
False,unusable,interim/qc/1038_q31.json,1,1,1,1,41801
False,unusable,interim/qc/1038_q35.json,1,1,4,1,41801
True,acceptable,interim/qc/1039_q31.json,4,3,4,3,23255
False,unusable,interim/qc/1039_q35.json,1,1,1,1,23255
True,acceptable,interim/qc/103_q31.json,4,4,4,3,30006
True,acceptable,interim/qc/103_q35.json,4,2,4,3,30006
True,acceptable,interim/qc/1040_q31.json,4,4,3,4,23100
True,acceptable,interim/qc/1040_q35.json,4,3,3,3,23100
False,unusable,interim/qc/1041_q31.json,1,1,1,1,74949
False,unusable,interim/qc/1041_q35.json,1,1,1,1,74949
True,acceptable,interim/qc/1042_q31.json,4,4,4,4,89084
True,acceptable,interim/qc/1042_q35.json,4,4,4,4,89084
True,acceptable,interim/qc/1043_q31.json,4,2,4,3,97850
True,acceptable,interim/qc/1043_q35.json,4,3,4,3,97850
False,unusable,interim/qc/1044_q31.json,1,1,1,1,19679
False,unusable,interim/qc/1044_q35.json,1,1,1,1,19679
False,unusable,interim/qc/1045_q31.json,1,1,1,1,90201
False,unusable,interim/qc/1045_q35.json,1,1,1,1,90201
False,unusable,interim/qc/1046_q31.json,1,1,4,1,19436
False,unusable,interim/qc/1046_q35.json,1,1,1,1,19436
False,unusable,interim/qc/1047_q35.json,1,1,1,1,79666
False,unusable,interim/qc/1048_q31.json,1,1,1,1,97316
False,unusable,interim/qc/1048_q35.json,1,1,1,1,97316
True,acceptable,interim/qc/1049_q31.json,4,3,4,3,43919
False,unusable,interim/qc/1049_q35.json,1,1,4,1,43919
True,acceptable,interim/qc/104_q31.json,4,4,4,4,81657
True,acceptable,interim/qc/104_q35.json,4,3,4,3,81657
True,needs_review,interim/qc/1050_q31.json,3,2,3,2,78794
True,acceptable,interim/qc/1050_q35.json,4,2,4,2,78794
False,unusable,interim/qc/1051_q31.json,1,1,1,1,72016
False,unusable,interim/qc/1051_q35.json,1,1,1,1,72016
False,unusable,interim/qc/1052_q31.json,1,1,1,1,21766
False,unusable,interim/qc/1053_q31.json,1,1,1,1,22960
False,unusable,interim/qc/1053_q35.json,1,1,1,1,22960
False,unusable,interim/qc/1054_q35.json,1,1,1,1,21547
True,acceptable,interim/qc/1055_q31.json,4,4,4,4,62956
True,acceptable,interim/qc/1055_q35.json,4,4,4,4,62956
True,acceptable,interim/qc/1056_q31.json,4,3,4,3,49139
True,acceptable,interim/qc/1057_q31.json,4,2,4,2,99395
,acceptable,interim/qc/1057_q35.json,4,3,4,3,99395
False,unusable,interim/qc/1058_q31.json,1,1,1,1,94406
False,unusable,interim/qc/1058_q35.json,1,1,4,1,94406
True,acceptable,interim/qc/1059_q31.json,4,4,4,4,89009
True,acceptable,interim/qc/1059_q35.json,4,4,4,4,89009
False,unusable,interim/qc/105_q31.json,1,1,1,1,46751
False,unusable,interim/qc/105_q35.json,1,1,1,1,46751
False,unusable,interim/qc/1060_q31.json,1,1,4,1,13796
False,unusable,interim/qc/1060_q35.json,1,1,2,1,13796
False,unusable,interim/qc/1061_q31.json,1,1,1,1,52222
False,unusable,interim/qc/1061_q35.json,1,1,1,1,52222
False,unusable,interim/qc/1062_q31.json,1,1,1,1,41076
False,unusable,interim/qc/1062_q35.json,1,1,1,1,41076
True,acceptable,interim/qc/1063_q31.json,4,3,4,3,57737
True,acceptable,interim/qc/1063_q35.json,3,2,4,2,57737
True,acceptable,interim/qc/1064_q31.json,4,3,4,3,87041
False,unusable,interim/qc/1064_q35.json,1,1,4,1,87041
False,unusable,interim/qc/1065_q31.json,1,1,1,1,83638
False,unusable,interim/qc/1065_q35.json,1,1,1,1,83638
True,acceptable,interim/qc/1066_q31.json,4,3,4,3,32646
True,acceptable,interim/qc/1066_q35.json,4,3,4,3,32646
False,unusable,interim/qc/1067_q31.json,1,1,1,1,50719
False,unusable,interim/qc/1067_q35.json,1,1,4,1,50719
False,unusable,interim/qc/1068_q31.json,1,1,1,1,32460
False,unusable,interim/qc/1068_q35.json,1,1,1,1,32460
False,unusable,interim/qc/1069_q35.json,1,1,4,1,37776
False,unusable,interim/qc/106_q31.json,1,1,4,1,40206
False,unusable,interim/qc/106_q35.json,1,1,4,1,40206
True,acceptable,interim/qc/1070_q31.json,4,2,4,2,99785
True,acceptable,interim/qc/1070_q35.json,4,2,3,2,99785
False,unusable,interim/qc/1071_q31.json,1,1,1,1,58866
False,unusable,interim/qc/1071_q35.json,1,1,4,1,58866
True,acceptable,interim/qc/1072_q31.json,4,3,4,3,48448
True,acceptable,interim/qc/1072_q35.json,4,2,4,3,48448
False,unusable,interim/qc/1073_q31.json,1,1,1,1,53084
False,unusable,interim/qc/1073_q35.json,1,1,1,1,53084
True,acceptable,interim/qc/1074_q31.json,3,2,4,2,93618
False,unusable,interim/qc/1074_q35.json,1,1,1,1,93618
True,acceptable,interim/qc/1075_q31.json,4,4,4,4,87443
True,acceptable,interim/qc/1075_q35.json,4,2,4,2,87443
False,unusable,interim/qc/1076_q31.json,1,1,1,1,50746
True,acceptable,interim/qc/1076_q35.json,4,2,4,2,50746
True,acceptable,interim/qc/1077_q31.json,3,3,3,2,91974
True,acceptable,interim/qc/1077_q35.json,4,4,3,3,91974
True,acceptable,interim/qc/1078_q31.json,4,3,3,3,26840
True,acceptable,interim/qc/1078_q35.json,4,3,4,3,26840
True,acceptable,interim/qc/1079_q31.json,3,1,4,2,46268
False,unusable,interim/qc/1079_q35.json,1,1,1,1,46268
True,acceptable,interim/qc/107_q31.json,3,2,4,2,55415
True,acceptable,interim/qc/107_q35.json,4,3,4,3,55415
False,unusable,interim/qc/1080_q31.json,1,1,4,1,86535
False,unusable,interim/qc/1080_q35.json,1,1,1,1,86535
True,acceptable,interim/qc/1081_q31.json,4,3,4,3,77919
True,acceptable,interim/qc/1081_q35.json,4,3,4,3,77919
True,acceptable,interim/qc/1082_q31.json,4,3,3,3,92838
True,acceptable,interim/qc/1082_q35.json,4,3,4,3,92838
True,acceptable,interim/qc/1083_q31.json,4,2,4,2,95028
True,acceptable,interim/qc/1083_q35.json,4,2,4,2,95028
True,acceptable,interim/qc/1084_q31.json,4,4,4,4,90195
True,acceptable,interim/qc/1084_q35.json,4,3,4,3,90195
True,acceptable,interim/qc/1085_q31.json,4,4,4,4,95484
True,acceptable,interim/qc/1085_q35.json,4,3,4,3,95484
False,unusable,interim/qc/1086_q31.json,1,1,2,1,27121
False,unusable,interim/qc/1086_q35.json,1,1,1,1,27121
True,acceptable,interim/qc/1087_q31.json,4,3,4,3,15969
True,acceptable,interim/qc/1087_q35.json,4,3,4,3,15969
False,unusable,interim/qc/1088_q31.json,1,1,1,1,87802
False,unusable,interim/qc/1089_q31.json,1,1,4,1,23102
False,unusable,interim/qc/1089_q35.json,1,1,1,1,23102
True,acceptable,interim/qc/108_q31.json,3,2,4,2,20034
True,acceptable,interim/qc/108_q35.json,3,2,4,2,20034
True,acceptable,interim/qc/1090_q31.json,4,4,4,4,54957
True,acceptable,interim/qc/1090_q35.json,4,2,4,3,54957
True,acceptable,interim/qc/1091_q31.json,4,4,4,4,51580
True,acceptable,interim/qc/1091_q35.json,4,2,4,2,51580
True,acceptable,interim/qc/1092_q31.json,4,2,3,2,47800
True,acceptable,interim/qc/1092_q35.json,4,2,4,3,47800
False,unusable,interim/qc/1093_q31.json,1,1,1,1,26428
True,acceptable,interim/qc/1093_q35.json,4,3,4,3,26428
True,needs_review,interim/qc/1094_q31.json,4,3,2,2,38775
True,acceptable,interim/qc/1094_q35.json,4,3,4,3,38775
True,acceptable,interim/qc/1095_q31.json,4,3,3,3,83065
True,acceptable,interim/qc/1095_q35.json,4,3,4,3,83065
False,unusable,interim/qc/1096_q31.json,1,1,4,1,78111
False,unusable,interim/qc/1096_q35.json,1,1,4,1,78111
False,unusable,interim/qc/1097_q31.json,1,1,4,1,17913
True,acceptable,interim/qc/1097_q35.json,4,3,4,3,17913
True,acceptable,interim/qc/1098_q31.json,4,3,4,3,77039
True,acceptable,interim/qc/1098_q35.json,4,2,4,2,77039
False,unusable,interim/qc/1099_q31.json,1,1,1,1,32557
False,unusable,interim/qc/1099_q35.json,1,1,1,1,32557
True,acceptable,interim/qc/109_q31.json,4,4,4,4,36413
True,acceptable,interim/qc/109_q35.json,4,4,4,4,36413
True,acceptable,interim/qc/10_q31.json,3,2,4,2,22377
False,unusable,interim/qc/10_q35.json,1,1,4,1,22377
False,unusable,interim/qc/1100_q31.json,1,1,1,1,62121
False,unusable,interim/qc/1100_q35.json,1,1,4,1,62121
True,acceptable,interim/qc/1101_q31.json,4,4,4,4,76159
True,acceptable,interim/qc/1101_q35.json,4,2,4,2,76159
False,unusable,interim/qc/1102_q31.json,1,1,4,1,61882
False,unusable,interim/qc/1102_q35.json,1,1,1,1,61882
True,acceptable,interim/qc/1103_q31.json,4,4,4,4,14504
True,acceptable,interim/qc/1103_q35.json,4,3,4,3,14504
False,unusable,interim/qc/1104_q31.json,1,1,1,1,96856
False,unusable,interim/qc/1104_q35.json,1,1,1,1,96856
True,acceptable,interim/qc/1105_q31.json,4,3,4,3,58638
True,acceptable,interim/qc/1105_q35.json,4,2,4,2,58638
False,unusable,interim/qc/1106_q31.json,1,1,1,1,70028
True,acceptable,interim/qc/1107_q31.json,4,3,4,3,51884
False,unusable,interim/qc/1107_q35.json,1,1,1,1,51884
True,acceptable,interim/qc/1108_q31.json,4,3,4,3,78578
False,unusable,interim/qc/1108_q35.json,1,1,1,1,78578
False,unusable,interim/qc/1109_q31.json,1,1,4,1,67924
False,unusable,interim/qc/1109_q35.json,1,1,4,1,67924
True,acceptable,interim/qc/110_q31.json,4,4,4,3,57546
False,unusable,interim/qc/110_q35.json,1,1,1,1,57546
True,acceptable,interim/qc/1110_q31.json,4,4,4,4,53901
True,acceptable,interim/qc/1110_q35.json,4,2,4,2,53901
True,acceptable,interim/qc/1111_q31.json,4,3,4,3,39059
True,acceptable,interim/qc/1111_q35.json,4,2,4,2,39059
False,unusable,interim/qc/1112_q31.json,1,1,1,1,93240
False,unusable,interim/qc/1112_q35.json,1,1,1,1,93240
True,acceptable,interim/qc/1113_q31.json,4,3,4,3,41511
True,acceptable,interim/qc/1113_q35.json,4,4,4,3,41511
False,unusable,interim/qc/1114_q31.json,1,1,1,1,66309
False,unusable,interim/qc/1114_q35.json,1,1,1,1,66309
True,acceptable,interim/qc/1115_q31.json,4,3,3,3,60099
True,acceptable,interim/qc/1115_q35.json,4,2,3,2,60099
False,unusable,interim/qc/1116_q31.json,1,1,4,1,41993
False,unusable,interim/qc/1116_q35.json,1,1,1,1,41993
False,unusable,interim/qc/1117_q31.json,1,1,1,1,48029
True,acceptable,interim/qc/1117_q35.json,4,2,4,3,48029
True,acceptable,interim/qc/1118_q31.json,4,4,4,4,71589
True,acceptable,interim/qc/1118_q35.json,4,4,4,4,71589
True,acceptable,interim/qc/1119_q31.json,4,3,4,3,41260
True,acceptable,interim/qc/1119_q35.json,4,3,4,3,41260
False,unusable,interim/qc/111_q31.json,1,1,1,1,20783
False,unusable,interim/qc/111_q35.json,1,1,1,1,20783
True,acceptable,interim/qc/1120_q31.json,4,3,4,3,93950
True,acceptable,interim/qc/1120_q35.json,4,3,3,3,93950
True,acceptable,interim/qc/1121_q31.json,4,3,4,3,77064
True,acceptable,interim/qc/1121_q35.json,4,2,4,2,77064
False,unusable,interim/qc/1122_q31.json,1,1,1,1,42357
False,unusable,interim/qc/1122_q35.json,1,1,1,1,42357
False,unusable,interim/qc/1123_q31.json,1,1,1,1,72264
False,unusable,interim/qc/1123_q35.json,1,1,1,1,72264
True,acceptable,interim/qc/1124_q31.json,4,3,3,3,43923
True,acceptable,interim/qc/1124_q35.json,4,3,4,3,43923
True,acceptable,interim/qc/1125_q31.json,4,3,4,3,41698
True,acceptable,interim/qc/1125_q35.json,4,4,4,4,41698
False,unusable,interim/qc/1126_q31.json,1,1,4,1,59372
True,acceptable,interim/qc/1126_q35.json,4,2,3,2,59372
True,acceptable,interim/qc/1127_q31.json,4,2,4,2,61380
True,acceptable,interim/qc/1127_q35.json,3,2,4,2,61380
True,acceptable,interim/qc/1128_q31.json,4,3,4,3,12144
False,unusable,interim/qc/1128_q35.json,1,1,1,1,12144
True,acceptable,interim/qc/1129_q31.json,4,4,4,4,89466
True,acceptable,interim/qc/1129_q35.json,4,3,4,3,89466
True,acceptable,interim/qc/112_q31.json,4,3,4,3,83068
True,acceptable,interim/qc/112_q35.json,4,3,4,3,83068
False,unusable,interim/qc/1130_q35.json,1,1,4,1,39292
False,unusable,interim/qc/1131_q35.json,1,1,1,1,68793
True,acceptable,interim/qc/1132_q31.json,4,4,4,4,88252
True,acceptable,interim/qc/1132_q35.json,4,4,4,4,88252
True,acceptable,interim/qc/1133_q31.json,4,4,4,4,35767
True,acceptable,interim/qc/1133_q35.json,4,3,4,3,35767
False,unusable,interim/qc/1134_q31.json,1,1,4,1,56376
False,unusable,interim/qc/1134_q35.json,1,1,1,1,56376
True,acceptable,interim/qc/1135_q31.json,4,3,4,3,41957
True,acceptable,interim/qc/1135_q35.json,4,3,4,3,41957
True,acceptable,interim/qc/1136_q31.json,4,4,4,4,36637
True,acceptable,interim/qc/1136_q35.json,4,3,4,3,36637
True,acceptable,interim/qc/1137_q31.json,4,4,4,4,59455
True,acceptable,interim/qc/1137_q35.json,4,2,4,3,59455
False,unusable,interim/qc/1138_q31.json,1,1,4,1,47837
False,unusable,interim/qc/1138_q35.json,1,1,4,1,47837
False,unusable,interim/qc/1139_q31.json,1,1,4,1,79185
False,unusable,interim/qc/1139_q35.json,1,1,1,1,79185
True,acceptable,interim/qc/113_q31.json,4,4,4,4,38108
True,acceptable,interim/qc/113_q35.json,4,2,4,3,38108
False,unusable,interim/qc/1140_q31.json,1,1,1,1,95310
False,unusable,interim/qc/1140_q35.json,1,1,1,1,95310
False,unusable,interim/qc/1141_q31.json,1,1,1,1,80259
False,unusable,interim/qc/1141_q35.json,1,1,1,1,80259
True,acceptable,interim/qc/1142_q31.json,3,2,2,2,63194
False,unusable,interim/qc/1142_q35.json,1,1,2,1,63194
True,acceptable,interim/qc/1143_q31.json,4,3,3,3,63775
True,acceptable,interim/qc/1143_q35.json,3,2,3,2,63775
True,acceptable,interim/qc/1144_q31.json,4,3,3,3,23776
True,acceptable,interim/qc/1144_q35.json,3,2,4,2,23776
False,unusable,interim/qc/1145_q31.json,1,1,4,1,57850
False,unusable,interim/qc/1145_q35.json,1,1,1,1,57850
True,acceptable,interim/qc/1146_q31.json,4,3,4,3,10025
True,acceptable,interim/qc/1146_q35.json,4,3,4,3,10025
True,acceptable,interim/qc/1147_q31.json,4,2,4,2,35270
True,acceptable,interim/qc/1147_q35.json,4,3,4,3,35270
False,unusable,interim/qc/1148_q31.json,1,1,1,1,49136
False,unusable,interim/qc/1148_q35.json,1,1,4,1,49136
True,acceptable,interim/qc/1149_q31.json,4,3,3,3,78552
True,acceptable,interim/qc/1149_q35.json,4,3,3,3,78552
True,acceptable,interim/qc/114_q31.json,4,2,4,2,18696
True,acceptable,interim/qc/114_q35.json,4,2,4,2,18696
True,acceptable,interim/qc/1150_q31.json,4,2,4,3,73648
True,acceptable,interim/qc/1150_q35.json,4,2,4,2,73648
False,unusable,interim/qc/1151_q31.json,1,1,1,1,72716
False,unusable,interim/qc/1151_q35.json,1,1,1,1,72716
True,acceptable,interim/qc/1152_q31.json,4,3,3,3,40460
False,unusable,interim/qc/1152_q35.json,1,1,1,1,40460
False,unusable,interim/qc/1153_q31.json,1,1,1,1,96097
False,unusable,interim/qc/1153_q35.json,1,1,1,1,96097
True,acceptable,interim/qc/1154_q31.json,4,4,4,4,50252
True,acceptable,interim/qc/1154_q35.json,4,4,4,3,50252
True,acceptable,interim/qc/1155_q31.json,4,4,4,4,77225
True,acceptable,interim/qc/1155_q35.json,4,3,4,3,77225
True,acceptable,interim/qc/1156_q31.json,4,2,4,3,28083
False,unusable,interim/qc/1156_q35.json,1,1,4,1,28083
False,unusable,interim/qc/1157_q31.json,1,1,4,1,97676
False,unusable,interim/qc/1157_q35.json,1,1,1,1,97676
True,acceptable,interim/qc/1158_q31.json,4,3,3,3,38598
True,acceptable,interim/qc/1158_q35.json,4,2,4,3,38598
False,unusable,interim/qc/1159_q31.json,1,1,4,1,63416
False,unusable,interim/qc/1159_q35.json,1,1,1,1,63416
True,acceptable,interim/qc/115_q31.json,4,4,4,4,31078
True,acceptable,interim/qc/115_q35.json,4,3,4,4,31078
True,acceptable,interim/qc/1160_q31.json,4,2,4,2,35264
False,unusable,interim/qc/1160_q35.json,1,1,1,1,35264
False,unusable,interim/qc/1161_q31.json,1,1,1,1,14035
False,unusable,interim/qc/1161_q35.json,1,1,4,1,14035
True,acceptable,interim/qc/1162_q31.json,4,2,4,3,57512
True,acceptable,interim/qc/1162_q35.json,4,4,4,3,57512
True,acceptable,interim/qc/1163_q31.json,4,3,4,3,24455
True,acceptable,interim/qc/1163_q35.json,4,3,4,3,24455
False,unusable,interim/qc/1164_q35.json,1,1,1,1,35065
False,unusable,interim/qc/1165_q31.json,1,1,1,1,89180
True,acceptable,interim/qc/1165_q35.json,4,3,4,3,89180
False,unusable,interim/qc/1166_q31.json,1,1,1,1,92979
False,unusable,interim/qc/1166_q35.json,1,1,1,1,92979
False,unusable,interim/qc/1167_q31.json,1,1,1,1,15420
True,acceptable,interim/qc/1167_q35.json,4,2,4,3,15420
True,acceptable,interim/qc/1168_q31.json,4,3,4,3,64683
True,acceptable,interim/qc/1168_q35.json,4,3,4,3,64683
False,unusable,interim/qc/1169_q31.json,1,1,4,1,89227
False,unusable,interim/qc/1169_q35.json,1,1,1,1,89227
True,acceptable,interim/qc/116_q31.json,4,4,4,4,78647
True,acceptable,interim/qc/116_q35.json,4,4,4,4,78647
True,acceptable,interim/qc/1170_q31.json,4,4,4,4,36370
True,acceptable,interim/qc/1170_q35.json,4,2,4,2,36370
False,unusable,interim/qc/1171_q31.json,1,1,1,1,75644
False,unusable,interim/qc/1171_q35.json,1,1,1,1,75644
True,acceptable,interim/qc/1172_q31.json,4,2,4,2,80951
True,acceptable,interim/qc/1172_q35.json,4,2,4,2,80951
False,unusable,interim/qc/1173_q31.json,1,1,1,1,40539
False,unusable,interim/qc/1173_q35.json,1,1,1,1,40539
True,acceptable,interim/qc/1174_q31.json,4,3,4,3,57775
True,acceptable,interim/qc/1174_q35.json,4,2,4,2,57775
True,acceptable,interim/qc/1175_q31.json,4,3,4,3,29269
True,acceptable,interim/qc/1175_q35.json,4,2,3,2,29269
True,acceptable,interim/qc/1176_q31.json,4,4,3,3,89164
True,acceptable,interim/qc/1176_q35.json,4,3,4,3,89164
True,acceptable,interim/qc/1177_q31.json,4,2,4,3,74043
True,acceptable,interim/qc/1177_q35.json,4,3,4,3,74043
True,acceptable,interim/qc/1178_q31.json,4,3,4,3,38132
True,acceptable,interim/qc/1178_q35.json,4,3,4,3,38132
False,unusable,interim/qc/1179_q31.json,1,1,4,1,69705
False,unusable,interim/qc/1179_q35.json,1,1,1,1,69705
True,acceptable,interim/qc/117_q31.json,4,2,4,2,16863
True,acceptable,interim/qc/117_q35.json,4,2,4,2,16863
False,unusable,interim/qc/1180_q31.json,1,1,1,1,86346
False,unusable,interim/qc/1180_q35.json,1,1,1,1,86346
False,unusable,interim/qc/1181_q31.json,1,1,1,1,13151
False,unusable,interim/qc/1181_q35.json,1,1,1,1,13151
True,acceptable,interim/qc/1182_q31.json,4,3,3,3,71118
True,acceptable,interim/qc/1182_q35.json,4,3,3,3,71118
False,unusable,interim/qc/1183_q31.json,1,1,1,1,40861
False,unusable,interim/qc/1183_q35.json,1,1,1,1,40861
False,unusable,interim/qc/1184_q31.json,1,1,1,1,29054
False,unusable,interim/qc/1184_q35.json,1,1,1,1,29054
False,unusable,interim/qc/1185_q31.json,1,1,1,1,82552
False,unusable,interim/qc/1185_q35.json,1,1,4,1,82552
True,acceptable,interim/qc/1186_q31.json,4,4,4,4,74042
True,acceptable,interim/qc/1186_q35.json,4,3,4,3,74042
True,acceptable,interim/qc/1187_q31.json,4,3,4,3,12980
True,acceptable,interim/qc/1187_q35.json,4,2,4,2,12980
False,unusable,interim/qc/1188_q31.json,1,1,4,1,64226
False,unusable,interim/qc/1188_q35.json,1,1,1,1,64226
True,acceptable,interim/qc/1189_q31.json,4,4,4,4,44467
True,acceptable,interim/qc/1189_q35.json,4,3,4,3,44467
True,acceptable,interim/qc/118_q31.json,4,4,4,4,68153
True,acceptable,interim/qc/118_q35.json,4,3,4,3,68153
False,unusable,interim/qc/1190_q31.json,1,1,1,1,15405
False,unusable,interim/qc/1190_q35.json,1,1,1,1,15405
True,acceptable,interim/qc/1191_q31.json,4,3,4,3,96574
True,acceptable,interim/qc/1191_q35.json,4,2,4,2,96574
True,acceptable,interim/qc/1192_q31.json,4,3,4,3,35627
True,acceptable,interim/qc/1192_q35.json,4,2,4,3,35627
True,needs_review,interim/qc/1193_q31.json,2,1,2,1,12283
True,needs_review,interim/qc/1193_q35.json,3,2,2,2,12283
True,acceptable,interim/qc/1194_q31.json,4,3,4,3,52286
True,acceptable,interim/qc/1194_q35.json,4,4,4,4,52286
True,acceptable,interim/qc/1195_q31.json,4,3,4,3,31307
True,acceptable,interim/qc/1195_q35.json,4,3,4,3,31307
False,unusable,interim/qc/1196_q31.json,1,1,4,1,16861
False,unusable,interim/qc/1196_q35.json,1,1,1,1,16861
True,acceptable,interim/qc/1197_q31.json,4,3,4,3,85218
True,acceptable,interim/qc/1197_q35.json,4,2,4,3,85218
True,acceptable,interim/qc/1198_q31.json,4,3,4,3,42080
True,acceptable,interim/qc/1198_q35.json,4,3,4,3,42080
False,unusable,interim/qc/1199_q31.json,1,1,1,1,72443
False,unusable,interim/qc/1199_q35.json,1,1,1,1,72443
True,acceptable,interim/qc/119_q31.json,4,4,4,4,75448
False,unusable,interim/qc/119_q35.json,1,1,1,1,75448
False,unusable,interim/qc/11_q31.json,1,1,4,1,35772
False,unusable,interim/qc/11_q35.json,1,1,1,1,35772
False,unusable,interim/qc/1200_q31.json,1,1,1,1,92178
False,unusable,interim/qc/1200_q35.json,1,1,4,1,92178
True,acceptable,interim/qc/1201_q31.json,4,2,4,3,42020
True,acceptable,interim/qc/1201_q35.json,4,2,4,2,42020
False,unusable,interim/qc/1202_q31.json,1,1,1,1,15173
False,unusable,interim/qc/1202_q35.json,1,1,1,1,15173
True,acceptable,interim/qc/1203_q31.json,4,2,4,2,26275
True,acceptable,interim/qc/1203_q35.json,4,4,4,3,26275
